time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
946688865.37408972,0.06207107,4993,0.01284234,0.00000000,0,0.00000211,2990,3616,1591,0.00000000
946688865.47312272,0.08239875,4932,0.01902096,0.00000000,0,0.00000218,3616,3813,971,0.00675002
946688865.57313406,0.05420086,4961,0.00737379,0.00000000,0,0.00000192,3587,4017,798,0.00143536
946688865.67325580,0.05058320,4977,0.00669421,0.00000000,0,0.00000160,4017,4178,702,0.00123059
946688865.77314556,0.05730630,4891,0.00583962,0.00000000,0,0.00000218,4178,4406,616,0.00722656
946688865.87306178,0.07302576,5020,0.00505491,0.00000000,0,0.00000176,4406,4690,627,0.00050538
946688865.97319520,0.05756454,4887,0.00703085,0.00000000,0,0.00000179,4690,4789,569,0.00147258
946688866.07338524,0.05879299,5065,0.00574637,0.00000000,0,0.00000189,4789,4891,509,0.00063392
946688866.17319822,0.06646141,4886,0.00534336,0.00000000,0,0.00000211,4891,5160,433,0.00052090
946688866.27335286,0.05286470,4922,0.00453990,0.00000000,0,0.00000189,4765,4837,342,0.00053040
946688866.37514126,0.04840624,4998,0.00254333,0.00000000,0,0.00000179,4837,5084,343,0.00045453
946688866.47315300,0.06438202,4887,0.00339501,0.00000000,0,0.00000192,5084,5331,384,0.00073034
946688866.57315946,0.04835491,5037,0.00746698,0.00000000,0,0.00000182,5331,5417,355,0.00060960
946688866.67315257,0.05242349,4895,0.00234486,0.00000000,0,0.00000166,4792,5087,339,0.00053517
946688866.77326989,0.03892672,5010,0.00217069,0.00000000,0,0.00000179,5087,5321,293,0.00046675
946688866.87325764,0.06010013,4899,0.00250208,0.00000000,0,0.00000189,5321,5537,329,0.00049258
946688866.97218657,0.04393776,5014,0.00236656,0.00000000,0,0.00000170,5537,5686,268,0.00051094
946688867.07304060,0.06711616,4985,0.00246070,0.00000000,0,0.00000208,5686,5845,290,0.00050042
946688867.17320144,0.05418000,4875,0.00264563,0.00000000,0,0.00000186,5845,6005,289,0.00046230
946688867.27315688,0.05245549,5045,0.00305302,0.00000000,0,0.00000182,6005,6111,259,0.00056454
946688867.37325811,0.05073773,4964,0.00253539,0.00000000,0,0.00000275,6111,6175,269,0.00047360
946688867.47317564,0.06456176,5025,0.00254845,0.00000000,0,0.00000211,6175,6183,234,0.00045181
946688867.57313287,0.06338310,4990,0.00231686,0.00000000,0,0.00000211,6183,6174,210,0.00048074
946688867.67215896,0.06388467,4854,0.00208038,0.00000000,0,0.00000186,6174,6246,213,0.00047565
946688867.77216625,0.04913853,5136,0.00285338,0.00000000,0,0.00000160,6246,6349,215,0.00053520
946688867.87315559,0.06697891,4914,0.00190867,0.00000000,0,0.00000182,6349,6411,193,0.00056896
946688867.97320306,0.05284726,4981,0.00181459,0.00000000,0,0.00000176,6411,6523,200,0.00054784
946688868.07326961,0.05092970,4965,0.00274886,0.00000000,0,0.00000170,6523,6491,179,0.00055341
946688868.17303658,0.06232880,4914,0.00287574,0.00000000,0,0.00000186,6491,6492,180,0.00059706
946688868.27163470,0.05042454,4896,0.00164086,0.00000000,0,0.00000189,6492,6508,148,0.00046579
946688868.37631381,0.05732966,5074,0.00154666,0.00000000,0,0.00000250,6508,6625,179,0.00527392
946688868.47316849,0.06922333,5010,0.00407421,0.00000000,0,0.00000227,6625,6628,177,0.00053754
946688868.57313967,0.08147859,4885,0.00304858,0.00000000,0,0.00000205,6628,6611,167,0.00045648
946688868.67223847,0.06901283,4992,0.00261152,0.00000000,0,0.00000208,6611,6674,181,0.00051440
946688868.77332997,0.05793174,4921,0.00149744,0.00000000,0,0.00000202,6674,6735,149,0.00045318
946688868.87408412,0.08675763,4933,0.00217254,0.00000000,0,0.00000176,6735,6828,168,0.00045978
946688868.97316980,0.09264941,5010,0.00246768,0.00000000,0,0.00000192,6828,6879,161,0.00057200
946688869.07371438,0.04818022,4982,0.00159274,0.00000000,0,0.00000157,6879,6956,165,0.00049699
946688869.17315841,0.07697971,4960,0.00336384,0.00000000,0,0.00000230,6956,6888,150,0.00048576
946688869.27425814,0.06149181,4841,0.00144659,0.00000000,0,0.00000198,6888,6933,132,0.00051434
946688869.37738359,0.06950973,5122,0.00176774,0.00000000,0,0.00000205,6933,6934,151,0.00046083
946688869.47304606,0.06093219,4822,0.00137757,0.00000000,0,0.00000214,6934,6923,111,0.00116547
946688869.57276928,0.09776877,5084,0.00166374,0.00000000,0,0.00000227,6923,6936,128,0.00179862
946688869.67425764,0.08027478,4989,0.00196701,0.00000000,0,0.00000192,6936,6958,115,0.00074762
946688869.77350450,0.11365882,4971,0.00614566,0.00000000,0,0.00000195,6958,7040,123,0.00046992
946688869.87309289,0.10157920,5014,0.00140378,0.00000000,0,0.00000198,7040,7099,133,0.00058931
946688869.97225845,0.08680557,4974,0.00166518,0.00000000,0,0.00000195,7099,7180,131,0.00049334
946688870.07654965,0.14137155,4956,0.00137322,0.00000000,0,0.00000189,7180,7183,110,0.00045680
946688870.17251086,0.07761181,5010,0.00177635,0.00000000,0,0.00000214,7183,7190,133,0.00048266
946688870.27324665,0.05443462,4844,0.00145325,0.00000000,0,0.00000173,7190,7206,116,0.00156221
946688870.37305546,0.06425629,5086,0.00218618,0.00000000,0,0.00000205,7206,7269,123,0.00076176
946688870.47328103,0.06984957,4924,0.00152733,0.00000000,0,0.00000170,7269,7250,109,0.00045914
946688870.57312334,0.05859574,5032,0.00116118,0.00000000,0,0.00000189,7250,7311,115,0.00045888
946688870.67312205,0.06414458,4946,0.00142621,0.00000000,0,0.00000176,7311,7323,107,0.00058774
946688870.77314901,0.07511613,5031,0.00129552,0.00000000,0,0.00000182,7323,7381,121,0.00047280
946688870.87650633,0.09587488,4939,0.00366717,0.00000000,0,0.00000326,7381,7386,94,0.00044950
946688870.97606051,0.07851459,4918,0.00121226,0.00000000,0,0.00000189,7386,7376,97,0.00508922
946688871.07113171,0.05893088,5050,0.00339562,0.00000000,0,0.00000419,7376,7244,103,0.00061466
946688871.17309189,0.05491235,5015,0.00149725,0.00000000,0,0.00000218,7244,7252,104,0.00046451
946688871.27310228,0.06610867,4998,0.00254726,0.00000000,0,0.00000192,7252,7246,98,0.00046358
946688871.37320769,0.09080128,4898,0.00150298,0.00000000,0,0.00000189,7246,7236,112,0.00049043
